종목코드,종목명,종가,대비,등락률,상장시가총액
"079550","LIG넥스원","504000","1000","0.20","1.1088E7"
"005830","DB손해보험","145000","-300","-0.21","1.0266E7"
"272210","한화시스템","54800","200","0.37","1.0352783E7"
"000150","두산","612000","-11000","-1.77","1.0112587E7"
"047810","한국항공우주","99100","-2900","-2.84","9659783.0"
"010120","LS ELECTRIC","316000","0","0.00","9480000.0"
"443060","HD현대마린솔루션","215000","-4500","-2.05","9638280.0"
"000100","유한양행","119700","800","0.67","9572222.0"
"047050","포스코인터내셔널","50300","700","1.41","8848916.0"
"042700","한미반도체","90900","900","1.00","8663879.0"
"326030","SK바이오팜","111000","500","0.45","8692771.0"
"003490","대한항공","23900","150","0.63","8800474.0"
"071050","한국금융지주","150000","2400","1.63","8358899.0"
"278470","에이피알","218000","-11500","-5.01","8159883.0"
"010620","HD현대미포","199800","-1200","-0.60","7980441.0"
"377300","카카오페이","55600","2700","5.10","7510092.0"
"021240","코웨이","100100","300","0.30","7198104.0"
"005940","NH투자증권","20550","-100","-0.48","7322877.0"
"180640","한진칼","110700","-500","-0.45","7390584.0"
"087010","펩트론","307000","-4000","-1.29","7152286.0"
"090430","아모레퍼시픽","122100","2200","1.83","7141966.0"
"010950","S-Oil","59200","-1700","-2.79","6664901.0"
"214450","파마리서치","644000","-9000","-1.38","6690933.0"
"086520","에코프로","49100","500","1.03","6666609.0"
"039490","키움증권","249500","0","0.00","6530805.0"
"032640","LG유플러스","15160","-110","-0.72","6516198.0"
"000880","한화","85800","-800","-0.92","6431459.0"
"000720","현대건설","59400","700","1.19","6614532.0"
"016360","삼성증권","74000","300","0.41","6608200.0"
"029780","삼성카드","52800","-900","-1.68","6117349.0"
"034220","LG디스플레이","12100","350","2.98","6050000.0"
"141080","리가켐바이오","154400","300","0.19","5652636.0"
"006260","LS","182600","-1100","-0.60","5788420.0"
"277810","레인보우로보틱스","294500","5500","1.90","5713258.0"
"298380","에이비엘바이오","105300","-100","-0.09","5746758.0"
"028050","삼성E&A","28400","-500","-1.73","5566400.0"
"001040","CJ","186300","-2100","-1.11","5435675.0"
"251270","넷마블","61900","200","0.32","5320522.0"
"009830","한화솔루션","29750","400","1.36","5113803.0"
"007660","이수페타시스","71900","-2700","-3.62","5278123.0"
"028300","HLB","39050","-100","-0.26","5132695.0"
"241560","두산밥캣","54200","200","0.37","5195399.0"
